         ;                 ;                                                                   ;ESTUDIO ESPECIAL ;        ;        ;   ;   ;   ;   ;   ;
         ;Nombre           ;Especial Padre Anchieta 2019                                       ;                 ;        ;        ;   ;   ;   ;   ;   ;
         ;Descripción      ;Estudio Especial Padre Anchieta rotonda con entradas y salida 2019 ;                 ;        ;        ;   ;   ;   ;   ;   ;
         ;Año              ;2019                                                               ;                 ;        ;        ;   ;   ;   ;   ;   ;
         ;Fichero          ;Especial Padre Anchieta Noviembre 2019.kmz                         ;                 ;        ;        ;   ;   ;   ;   ;   ;
         ;                 ;                                                                   ;                 ;        ;        ;   ;   ;   ;   ;   ;
Estación ;Fecha            ;Carril                                                             ;Total            ;Ligeros ;Pesados ;V1 ;V2 ;V3 ;V4 ;V5 ;V6
         ;                 ;                                                                   ;                 ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 1:00  ;1                                                                  ;45               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 2:00  ;1                                                                  ;19               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 3:00  ;1                                                                  ;12               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 4:00  ;1                                                                  ;15               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 5:00  ;1                                                                  ;25               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 6:00  ;1                                                                  ;85               ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 7:00  ;1                                                                  ;215              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 8:00  ;1                                                                  ;267              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 9:00  ;1                                                                  ;174              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 10:00 ;1                                                                  ;344              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 11:00 ;1                                                                  ;344              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 12:00 ;1                                                                  ;398              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 13:00 ;1                                                                  ;415              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 14:00 ;1                                                                  ;433              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 15:00 ;1                                                                  ;449              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 16:00 ;1                                                                  ;469              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 17:00 ;1                                                                  ;448              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 18:00 ;1                                                                  ;474              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 19:00 ;1                                                                  ;446              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 20:00 ;1                                                                  ;415              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 21:00 ;1                                                                  ;380              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 22:00 ;1                                                                  ;267              ;        ;        ;   ;   ;   ;   ;   ;
1        ;19/11/2019 23:00 ;1                                                                  ;163              ;        ;        ;   ;   ;   ;   ;   ;
1        ;43789            ;1                                                                  ;79               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 1:00  ;1                                                                  ;40               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 2:00  ;1                                                                  ;26               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 3:00  ;1                                                                  ;9                ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 4:00  ;1                                                                  ;13               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 5:00  ;1                                                                  ;23               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 6:00  ;1                                                                  ;79               ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 7:00  ;1                                                                  ;200              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 8:00  ;1                                                                  ;257              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 9:00  ;1                                                                  ;302              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 10:00 ;1                                                                  ;354              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 11:00 ;1                                                                  ;343              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 12:00 ;1                                                                  ;362              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 13:00 ;1                                                                  ;411              ;        ;        ;   ;   ;   ;   ;   ;
1        ;20/11/2019 14:00 ;1                                                                  ;452              ;        ;        ;   ;   ;   ;   ;   ;
